CSV,Berlin,Hamburg,Munchen,Koln,Frankfurt,Stuttgart,Dusseldorf,Dortmund,Essen,Bremen,Dresden,Leipzig,Hannover,Nurnberg,Duisburg,Bochum,Wuppertal,Bonn,Bielefeld,Mannheim,Karlsruhe,Munster,Wiesbaden,Augsburg,Aachen,Monchengladbach,Gelsenkirchen,Braunschweig,Chemnitz,Kiel,Krefeld,Halle,Magdeburg,Freiburg,Oberhausen,Lubeck,Erfurt,Rostock,Mainz,Kassel,Hagen,Hamm,Saarbrucken,Mulheim,Herne,Ludwigshafen,Osnabruck,Oldenburg,Leverkusen,Solingen,Potsdam,Neuss,Heidelberg,Paderborn,Darmstadt,Regensburg,Wurzburg,Ingolstadt,Heilbronn,Ulm,Wolfsburg,Gottingen,Offenbach,Pforzheim,Recklinghausen,Bottrop,Furth,Bremerhaven,Reutlingen,Remscheid,Koblenz,Bergisch_Gladbach,Erlangen,Moers,Trier,Jena,Siegen,Hildesheim,Salzgitter,Cottbus,St_Augustine,Baden_Baden,Basel_Switzerland
Halle,171 km: 1 hour 49 mins,355 km: 3 hours 20 mins,439 km: 4 hours 1 min,459 km: 4 hours 13 mins,403 km: 3 hours 42 mins,486 km: 4 hours 32 mins,447 km: 4 hours 10 mins,377 km: 3 hours 29 mins,412 km: 3 hours 53 mins,331 km: 3 hours 2 mins,153 km: 1 hour 31 mins,43.4 km: 37 mins,223 km: 2 hours 12 mins,291 km: 2 hours 52 mins,431 km: 4 hours 6 mins,397 km: 3 hours 43 mins,414 km: 3 hours 47 mins,482 km: 4 hours 25 mins,330 km: 3 hours 6 mins,477 km: 4 hours 20 mins,533 km: 4 hours 51 mins,415 km: 3 hours 48 mins,424 km: 3 hours 49 mins,441 km: 4 hours 12 mins,521 km: 4 hours 51 mins,471 km: 4 hours 28 mins,410 km: 3 hours 52 mins,166 km: 1 hour 42 mins,139 km: 1 hour 26 mins,451 km: 4 hours 7 mins,447 km: 4 hours 20 mins,NULL,87.0 km: 57 mins,663 km: 6 hours 1 min,439 km: 3 hours 58 mins,415 km: 3 hours 57 mins,126 km: 1 hour 28 mins,362 km: 3 hours 18 mins,429 km: 3 hours 58 mins,216 km: 2 hours 7 mins,390 km: 3 hours 34 mins,363 km: 3 hours 27 mins,578 km: 5 hours 15 mins,421 km: 4 hours 1 min,398 km: 3 hours 42 mins,479 km: 4 hours 20 mins,355 km: 3 hours 25 mins,374 km: 3 hours 28 mins,443 km: 3 hours 58 mins,429 km: 4 hours 0 mins,149 km: 1 hour 26 mins,448 km: 4 hours 12 mins,482 km: 4 hours 22 mins,306 km: 2 hours 53 mins,426 km: 3 hours 53 mins,350 km: 3 hours 16 mins,336 km: 3 hours 6 mins,363 km: 3 hours 20 mins,445 km: 4 hours 6 mins,475 km: 4 hours 18 mins,164 km: 1 hour 36 mins,190 km: 1 hour 50 mins,406 km: 3 hours 43 mins,516 km: 4 hours 42 mins,405 km: 3 hours 46 mins,423 km: 3 hours 56 mins,308 km: 2 hours 54 mins,385 km: 3 hours 30 mins,528 km: 4 hours 50 mins,421 km: 3 hours 50 mins,458 km: 4 hours 20 mins,445 km: 4 hours 12 mins,296 km: 2 hours 46 mins,440 km: 4 hours 12 mins,573 km: 5 hours 25 mins,112 km: 1 hour 9 mins,428 km: 3 hours 59 mins,197 km: 2 hours 2 mins,164 km: 1 hour 41 mins,263 km: 2 hours 25 mins,480 km: 4 hours 23 mins,568 km: 5 hours 6 mins,722 km: 6 hours 33 mins
Magdeburg,154 km: 1 hour 37 mins,279 km: 2 hours 36 mins,524 km: 4 hours 44 mins,435 km: 3 hours 55 mins,427 km: 3 hours 59 mins,571 km: 5 hours 15 mins,423 km: 3 hours 51 mins,354 km: 3 hours 11 mins,392 km: 3 hours 34 mins,255 km: 2 hours 19 mins,238 km: 2 hours 14 mins,129 km: 1 hour 20 mins,147 km: 1 hour 28 mins,377 km: 3 hours 35 mins,408 km: 3 hours 36 mins,378 km: 3 hours 24 mins,390 km: 3 hours 29 mins,457 km: 4 hours 6 mins,254 km: 2 hours 23 mins,501 km: 4 hours 36 mins,556 km: 5 hours 8 mins,333 km: 3 hours 11 mins,448 km: 4 hours 6 mins,527 km: 4 hours 55 mins,497 km: 4 hours 32 mins,447 km: 4 hours 10 mins,378 km: 3 hours 24 mins,90.2 km: 58 mins,225 km: 2 hours 9 mins,375 km: 3 hours 23 mins,433 km: 3 hours 52 mins,87.9 km: 1 hour 0 mins,NULL,687 km: 6 hours 18 mins,401 km: 3 hours 29 mins,339 km: 3 hours 13 mins,174 km: 2 hours 10 mins,327 km: 2 hours 57 mins,453 km: 4 hours 15 mins,241 km: 2 hours 22 mins,366 km: 3 hours 15 mins,325 km: 2 hours 55 mins,601 km: 5 hours 32 mins,401 km: 3 hours 41 mins,373 km: 3 hours 17 mins,502 km: 4 hours 37 mins,279 km: 2 hours 41 mins,298 km: 2 hours 45 mins,419 km: 3 hours 40 mins,405 km: 3 hours 42 mins,133 km: 1 hour 14 mins,424 km: 3 hours 53 mins,506 km: 4 hours 38 mins,289 km: 2 hours 39 mins,450 km: 4 hours 10 mins,436 km: 3 hours 59 mins,368 km: 3 hours 47 mins,449 km: 4 hours 3 mins,531 km: 4 hours 49 mins,561 km: 5 hours 2 mins,88.2 km: 53 mins,198 km: 1 hour 56 mins,430 km: 4 hours 0 mins,577 km: 5 hours 19 mins,367 km: 3 hours 17 mins,385 km: 3 hours 27 mins,393 km: 3 hours 37 mins,309 km: 2 hours 46 mins,614 km: 5 hours 33 mins,397 km: 3 hours 32 mins,482 km: 4 hours 36 mins,420 km: 3 hours 53 mins,382 km: 3 hours 29 mins,416 km: 3 hours 42 mins,597 km: 5 hours 41 mins,198 km: 1 hour 52 mins,439 km: 3 hours 57 mins,143 km: 1 hour 25 mins,110 km: 1 hour 5 mins,246 km: 2 hours 13 mins,456 km: 4 hours 5 mins,591 km: 5 hours 23 mins,745 km: 6 hours 49 mins
Freiburg,805 km: 7 hours 21 mins,756 km: 6 hours 55 mins,350 km: 4 hours 6 mins,432 km: 4 hours 5 mins,273 km: 2 hours 40 mins,205 km: 2 hours 8 mins,474 km: 4 hours 31 mins,483 km: 4 hours 31 mins,491 km: 4 hours 40 mins,704 km: 6 hours 27 mins,687 km: 6 hours 12 mins,649 km: 5 hours 53 mins,614 km: 5 hours 41 mins,382 km: 3 hours 37 mins,491 km: 4 hours 34 mins,496 km: 4 hours 40 mins,474 km: 4 hours 27 mins,413 km: 3 hours 55 mins,577 km: 5 hours 15 mins,199 km: 2 hours 0 mins,135 km: 1 hour 26 mins,538 km: 5 hours 0 mins,278 km: 2 hours 40 mins,354 km: 3 hours 32 mins,482 km: 4 hours 34 mins,475 km: 4 hours 30 mins,513 km: 4 hours 48 mins,599 km: 5 hours 34 mins,606 km: 5 hours 29 mins,851 km: 7 hours 42 mins,497 km: 4 hours 41 mins,659 km: 6 hours 0 mins,686 km: 6 hours 16 mins,NULL,495 km: 4 hours 34 mins,816 km: 7 hours 32 mins,521 km: 4 hours 47 mins,930 km: 8 hours 24 mins,280 km: 2 hours 41 mins,457 km: 4 hours 16 mins,468 km: 4 hours 22 mins,512 km: 4 hours 49 mins,207 km: 2 hours 15 mins,484 km: 4 hours 36 mins,502 km: 4 hours 40 mins,201 km: 2 hours 1 min,591 km: 5 hours 29 mins,693 km: 6 hours 21 mins,440 km: 4 hours 4 mins,459 km: 4 hours 23 mins,783 km: 6 hours 58 mins,476 km: 4 hours 30 mins,184 km: 1 hour 50 mins,536 km: 4 hours 58 mins,243 km: 2 hours 24 mins,471 km: 4 hours 24 mins,319 km: 3 hours 2 mins,451 km: 4 hours 9 mins,222 km: 2 hours 11 mins,282 km: 2 hours 48 mins,627 km: 5 hours 47 mins,496 km: 4 hours 35 mins,276 km: 2 hours 40 mins,155 km: 1 hour 39 mins,511 km: 4 hours 47 mins,505 km: 4 hours 47 mins,387 km: 3 hours 40 mins,767 km: 7 hours 3 mins,174 km: 2 hours 9 mins,466 km: 4 hours 23 mins,342 km: 3 hours 19 mins,437 km: 4 hours 12 mins,407 km: 3 hours 47 mins,500 km: 4 hours 41 mins,303 km: 3 hours 17 mins,563 km: 5 hours 6 mins,395 km: 3 hours 45 mins,583 km: 5 hours 23 mins,578 km: 5 hours 19 mins,807 km: 7 hours 10 mins,406 km: 3 hours 49 mins,109 km: 1 hour 11 mins,71.8 km: 46 mins
Oberhausen,532 km: 4 hours 48 mins,371 km: 3 hours 22 mins,639 km: 5 hours 45 mins,76.9 km: 50 mins,255 km: 2 hours 25 mins,431 km: 4 hours 2 mins,41.0 km: 32 mins,50.2 km: 35 mins,16.8 km: 19 mins,259 km: 2 hours 24 mins,568 km: 5 hours 7 mins,464 km: 4 hours 13 mins,250 km: 2 hours 17 mins,471 km: 4 hours 22 mins,14.7 km: 13 mins,33.5 km: 27 mins,61.4 km: 40 mins,99.7 km: 1 hour 1 min,152 km: 1 hour 25 mins,312 km: 2 hours 54 mins,367 km: 3 hours 24 mins,94.1 km: 56 mins,239 km: 2 hours 13 mins,587 km: 5 hours 29 mins,131 km: 1 hour 21 mins,69.1 km: 47 mins,17.6 km: 14 mins,313 km: 2 hours 49 mins,526 km: 4 hours 48 mins,455 km: 4 hours 3 mins,43.1 km: 29 mins,425 km: 3 hours 57 mins,392 km: 3 hours 26 mins,497 km: 4 hours 34 mins,NULL,430 km: 3 hours 59 mins,394 km: 3 hours 44 mins,544 km: 4 hours 51 mins,244 km: 2 hours 22 mins,213 km: 2 hours 7 mins,69.7 km: 45 mins,81.2 km: 54 mins,332 km: 3 hours 13 mins,11.7 km: 20 mins,28.2 km: 19 mins,313 km: 2 hours 54 mins,146 km: 1 hour 26 mins,249 km: 2 hours 17 mins,61.3 km: 35 mins,58.6 km: 42 mins,510 km: 4 hours 25 mins,59.6 km: 40 mins,316 km: 2 hours 55 mins,149 km: 1 hour 36 mins,264 km: 2 hours 30 mins,573 km: 5 hours 13 mins,366 km: 3 hours 21 mins,564 km: 5 hours 4 mins,379 km: 3 hours 29 mins,515 km: 4 hours 45 mins,334 km: 2 hours 58 mins,260 km: 2 hours 32 mins,262 km: 2 hours 27 mins,387 km: 3 hours 36 mins,35.4 km: 26 mins,9.6 km: 13 mins,464 km: 4 hours 15 mins,323 km: 2 hours 59 mins,461 km: 4 hours 16 mins,76.1 km: 48 mins,181 km: 1 hour 42 mins,72.2 km: 54 mins,460 km: 4 hours 9 mins,24.0 km: 20 mins,261 km: 2 hours 37 mins,437 km: 4 hours 3 mins,142 km: 1 hour 26 mins,294 km: 2 hours 38 mins,321 km: 2 hours 52 mins,624 km: 5 hours 24 mins,98.1 km: 1 hour 0 mins,402 km: 3 hours 39 mins,556 km: 5 hours 6 mins
Lubeck,307 km: 3 hours 1 min,68.3 km: 54 mins,836 km: 7 hours 38 mins,485 km: 4 hours 33 mins,556 km: 5 hours 12 mins,715 km: 6 hours 45 mins,461 km: 4 hours 23 mins,404 km: 3 hours 50 mins,426 km: 4 hours 3 mins,186 km: 1 hour 51 mins,495 km: 4 hours 47 mins,456 km: 4 hours 14 mins,211 km: 2 hours 12 mins,667 km: 6 hours 15 mins,436 km: 4 hours 4 mins,411 km: 3 hours 52 mins,440 km: 4 hours 7 mins,508 km: 4 hours 45 mins,311 km: 3 hours 2 mins,630 km: 5 hours 50 mins,685 km: 6 hours 21 mins,342 km: 3 hours 15 mins,577 km: 5 hours 19 mins,805 km: 7 hours 24 mins,547 km: 5 hours 11 mins,487 km: 4 hours 38 mins,415 km: 3 hours 53 mins,260 km: 2 hours 33 mins,552 km: 5 hours 3 mins,86.4 km: 1 hour 11 mins,460 km: 4 hours 20 mins,415 km: 3 hours 54 mins,339 km: 3 hours 10 mins,816 km: 7 hours 31 mins,428 km: 3 hours 57 mins,NULL,421 km: 4 hours 45 mins,119 km: 1 hour 16 mins,581 km: 5 hours 29 mins,370 km: 3 hours 35 mins,416 km: 3 hours 54 mins,382 km: 3 hours 35 mins,730 km: 6 hours 45 mins,435 km: 4 hours 10 mins,406 km: 3 hours 45 mins,631 km: 5 hours 50 mins,292 km: 2 hours 48 mins,228 km: 2 hours 17 mins,469 km: 4 hours 18 mins,455 km: 4 hours 20 mins,303 km: 3 hours 3 mins,474 km: 4 hours 31 mins,635 km: 5 hours 52 mins,347 km: 3 hours 18 mins,579 km: 5 hours 23 mins,763 km: 6 hours 53 mins,568 km: 5 hours 16 mins,760 km: 6 hours 57 mins,675 km: 6 hours 20 mins,756 km: 6 hours 53 mins,281 km: 2 hours 41 mins,326 km: 3 hours 9 mins,559 km: 5 hours 13 mins,706 km: 6 hours 33 mins,398 km: 3 hours 43 mins,413 km: 3 hours 54 mins,660 km: 6 hours 8 mins,239 km: 2 hours 19 mins,757 km: 7 hours 3 mins,447 km: 4 hours 10 mins,589 km: 5 hours 26 mins,471 km: 4 hours 31 mins,650 km: 5 hours 59 mins,444 km: 4 hours 10 mins,669 km: 6 hours 20 mins,525 km: 4 hours 46 mins,489 km: 4 hours 35 mins,240 km: 2 hours 21 mins,268 km: 2 hours 35 mins,431 km: 4 hours 12 mins,506 km: 4 hours 43 mins,720 km: 6 hours 36 mins,874 km: 8 hours 3 mins
Erfurt,303 km: 3 hours 2 mins,360 km: 4 hours 7 mins,399 km: 3 hours 44 mins,367 km: 3 hours 32 mins,261 km: 2 hours 31 mins,341 km: 3 hours 23 mins,416 km: 3 hours 57 mins,346 km: 3 hours 16 mins,380 km: 3 hours 40 mins,336 km: 3 hours 50 mins,223 km: 2 hours 11 mins,147 km: 1 hour 34 mins,218 km: 2 hours 54 mins,230 km: 2 hours 21 mins,400 km: 3 hours 53 mins,366 km: 3 hours 30 mins,383 km: 3 hours 34 mins,362 km: 3 hours 32 mins,315 km: 2 hours 57 mins,335 km: 3 hours 8 mins,390 km: 3 hours 40 mins,384 km: 3 hours 34 mins,282 km: 2 hours 38 mins,401 km: 3 hours 56 mins,442 km: 4 hours 14 mins,435 km: 4 hours 11 mins,379 km: 3 hours 38 mins,180 km: 2 hours 37 mins,150 km: 1 hour 34 mins,456 km: 4 hours 55 mins,415 km: 4 hours 7 mins,127 km: 1 hour 30 mins,174 km: 2 hours 8 mins,521 km: 4 hours 50 mins,408 km: 3 hours 45 mins,420 km: 4 hours 45 mins,NULL,493 km: 4 hours 32 mins,286 km: 2 hours 47 mins,195 km: 1 hour 58 mins,359 km: 3 hours 21 mins,332 km: 3 hours 14 mins,435 km: 4 hours 4 mins,389 km: 3 hours 48 mins,367 km: 3 hours 29 mins,336 km: 3 hours 9 mins,362 km: 3 hours 40 mins,379 km: 4 hours 16 mins,373 km: 3 hours 30 mins,397 km: 3 hours 47 mins,281 km: 2 hours 39 mins,405 km: 3 hours 57 mins,340 km: 3 hours 10 mins,275 km: 2 hours 40 mins,284 km: 2 hours 42 mins,326 km: 3 hours 9 mins,194 km: 1 hour 54 mins,324 km: 3 hours 3 mins,300 km: 2 hours 58 mins,382 km: 3 hours 31 mins,251 km: 2 hours 47 mins,157 km: 1 hour 53 mins,264 km: 2 hours 32 mins,371 km: 3 hours 34 mins,374 km: 3 hours 33 mins,392 km: 3 hours 43 mins,223 km: 2 hours 14 mins,390 km: 4 hours 18 mins,383 km: 3 hours 41 mins,389 km: 3 hours 37 mins,316 km: 3 hours 8 mins,357 km: 3 hours 29 mins,211 km: 2 hours 3 mins,409 km: 3 hours 59 mins,431 km: 4 hours 13 mins,55.3 km: 45 mins,286 km: 2 hours 48 mins,187 km: 2 hours 36 mins,182 km: 2 hours 31 mins,343 km: 3 hours 10 mins,353 km: 3 hours 26 mins,425 km: 3 hours 55 mins,579 km: 5 hours 21 mins
Rostock,229 km: 2 hours 17 mins,183 km: 1 hour 47 mins,774 km: 6 hours 53 mins,600 km: 5 hours 27 mins,670 km: 6 hours 6 mins,822 km: 7 hours 23 mins,576 km: 5 hours 16 mins,518 km: 4 hours 44 mins,541 km: 4 hours 56 mins,300 km: 2 hours 45 mins,417 km: 4 hours 2 mins,380 km: 3 hours 29 mins,325 km: 3 hours 6 mins,627 km: 5 hours 43 mins,550 km: 4 hours 58 mins,526 km: 4 hours 46 mins,555 km: 5 hours 0 mins,622 km: 5 hours 38 mins,426 km: 3 hours 56 mins,745 km: 6 hours 44 mins,800 km: 7 hours 15 mins,456 km: 4 hours 9 mins,691 km: 6 hours 13 mins,777 km: 7 hours 4 mins,661 km: 6 hours 4 mins,601 km: 5 hours 31 mins,530 km: 4 hours 46 mins,374 km: 3 hours 26 mins,475 km: 4 hours 19 mins,201 km: 2 hours 3 mins,575 km: 5 hours 14 mins,359 km: 3 hours 18 mins,326 km: 2 hours 58 mins,930 km: 8 hours 25 mins,543 km: 4 hours 51 mins,123 km: 1 hour 13 mins,491 km: 4 hours 30 mins,NULL,696 km: 6 hours 22 mins,484 km: 4 hours 29 mins,531 km: 4 hours 47 mins,497 km: 4 hours 29 mins,845 km: 7 hours 39 mins,550 km: 5 hours 4 mins,520 km: 4 hours 38 mins,746 km: 6 hours 44 mins,406 km: 3 hours 42 mins,343 km: 3 hours 10 mins,584 km: 5 hours 12 mins,569 km: 5 hours 14 mins,225 km: 2 hours 19 mins,589 km: 5 hours 25 mins,749 km: 6 hours 45 mins,461 km: 4 hours 12 mins,693 km: 6 hours 17 mins,686 km: 6 hours 8 mins,672 km: 5 hours 57 mins,699 km: 6 hours 12 mins,781 km: 6 hours 58 mins,811 km: 7 hours 10 mins,252 km: 3 hours 26 mins,441 km: 4 hours 3 mins,673 km: 6 hours 7 mins,820 km: 7 hours 27 mins,513 km: 4 hours 37 mins,528 km: 4 hours 47 mins,643 km: 5 hours 46 mins,354 km: 3 hours 12 mins,864 km: 7 hours 42 mins,561 km: 5 hours 4 mins,703 km: 6 hours 19 mins,585 km: 5 hours 25 mins,632 km: 5 hours 38 mins,559 km: 5 hours 4 mins,783 km: 7 hours 14 mins,448 km: 4 hours 1 min,604 km: 5 hours 29 mins,355 km: 3 hours 15 mins,382 km: 3 hours 29 mins,353 km: 3 hours 28 mins,621 km: 5 hours 37 mins,835 km: 7 hours 30 mins,989 km: 8 hours 56 mins
Mainz,577 km: 5 hours 22 mins,522 km: 4 hours 54 mins,431 km: 3 hours 59 mins,179 km: 1 hour 53 mins,42.6 km: 40 mins,211 km: 2 hours 8 mins,221 km: 2 hours 18 mins,249 km: 2 hours 30 mins,238 km: 2 hours 28 mins,470 km: 4 hours 27 mins,497 km: 4 hours 32 mins,421 km: 3 hours 54 mins,380 km: 3 hours 41 mins,263 km: 2 hours 35 mins,238 km: 2 hours 22 mins,249 km: 2 hours 32 mins,222 km: 2 hours 15 mins,169 km: 1 hour 41 mins,343 km: 3 hours 14 mins,82.6 km: 54 mins,139 km: 1 hour 25 mins,304 km: 3 hours 0 mins,11.9 km: 17 mins,366 km: 3 hours 35 mins,238 km: 2 hours 20 mins,231 km: 2 hours 16 mins,260 km: 2 hours 36 mins,365 km: 3 hours 33 mins,424 km: 3 hours 54 mins,617 km: 5 hours 41 mins,253 km: 2 hours 28 mins,427 km: 4 hours 0 mins,452 km: 4 hours 15 mins,276 km: 2 hours 41 mins,242 km: 2 hours 22 mins,582 km: 5 hours 31 mins,287 km: 2 hours 47 mins,696 km: 6 hours 24 mins,NULL,223 km: 2 hours 15 mins,234 km: 2 hours 21 mins,278 km: 2 hours 49 mins,146 km: 1 hour 28 mins,231 km: 2 hours 24 mins,255 km: 2 hours 32 mins,83.5 km: 55 mins,357 km: 3 hours 29 mins,459 km: 4 hours 20 mins,187 km: 1 hour 52 mins,206 km: 2 hours 11 mins,555 km: 5 hours 0 mins,232 km: 2 hours 16 mins,95.5 km: 1 hour 2 mins,303 km: 2 hours 57 mins,43.3 km: 36 mins,365 km: 3 hours 27 mins,158 km: 1 hour 35 mins,356 km: 3 hours 17 mins,159 km: 1 hour 35 mins,294 km: 2 hours 52 mins,394 km: 3 hours 46 mins,262 km: 2 hours 34 mins,53.5 km: 41 mins,166 km: 1 hour 42 mins,264 km: 2 hours 39 mins,252 km: 2 hours 34 mins,256 km: 2 hours 28 mins,533 km: 5 hours 2 mins,240 km: 2 hours 22 mins,213 km: 2 hours 11 mins,98.4 km: 1 hour 5 mins,184 km: 2 hours 0 mins,251 km: 2 hours 23 mins,247 km: 2 hours 29 mins,148 km: 1 hour 49 mins,329 km: 3 hours 6 mins,161 km: 1 hour 44 mins,349 km: 3 hours 22 mins,344 km: 3 hours 18 mins,617 km: 5 hours 30 mins,153 km: 1 hour 37 mins,181 km: 1 hour 46 mins,335 km: 3 hours 12 mins
Kassel,381 km: 3 hours 45 mins,311 km: 3 hours 2 mins,476 km: 4 hours 24 mins,246 km: 2 hours 23 mins,196 km: 1 hour 58 mins,356 km: 3 hours 31 mins,234 km: 2 hours 19 mins,164 km: 1 hour 39 mins,199 km: 2 hours 3 mins,287 km: 2 hours 45 mins,359 km: 3 hours 18 mins,255 km: 2 hours 23 mins,169 km: 1 hour 48 mins,308 km: 3 hours 1 min,219 km: 2 hours 16 mins,184 km: 1 hour 53 mins,201 km: 1 hour 57 mins,269 km: 2 hours 34 mins,133 km: 1 hour 19 mins,271 km: 2 hours 36 mins,326 km: 3 hours 7 mins,203 km: 1 hour 57 mins,217 km: 2 hours 6 mins,445 km: 4 hours 10 mins,308 km: 3 hours 0 mins,258 km: 2 hours 38 mins,197 km: 2 hours 1 min,154 km: 1 hour 41 mins,317 km: 2 hours 58 mins,407 km: 3 hours 49 mins,234 km: 2 hours 29 mins,216 km: 2 hours 7 mins,241 km: 2 hours 23 mins,456 km: 4 hours 17 mins,226 km: 2 hours 7 mins,371 km: 3 hours 39 mins,196 km: 1 hour 58 mins,485 km: 4 hours 31 mins,222 km: 2 hours 15 mins,NULL,177 km: 1 hour 43 mins,150 km: 1 hour 37 mins,371 km: 3 hours 31 mins,208 km: 2 hours 10 mins,185 km: 1 hour 52 mins,272 km: 2 hours 36 mins,180 km: 2 hours 3 mins,299 km: 3 hours 4 mins,230 km: 2 hours 8 mins,216 km: 2 hours 10 mins,359 km: 3 hours 22 mins,235 km: 2 hours 21 mins,275 km: 2 hours 38 mins,93.1 km: 1 hour 3 mins,219 km: 2 hours 10 mins,410 km: 3 hours 53 mins,209 km: 2 hours 2 mins,401 km: 3 hours 43 mins,315 km: 3 hours 6 mins,397 km: 3 hours 39 mins,183 km: 1 hour 54 mins,50.8 km: 42 mins,199 km: 1 hour 59 mins,346 km: 3 hours 19 mins,193 km: 1 hour 56 mins,211 km: 2 hours 6 mins,301 km: 2 hours 54 mins,341 km: 3 hours 12 mins,398 km: 3 hours 49 mins,208 km: 2 hours 0 mins,251 km: 2 hours 36 mins,232 km: 2 hours 21 mins,291 km: 2 hours 46 mins,227 km: 2 hours 22 mins,367 km: 3 hours 41 mins,239 km: 2 hours 17 mins,222 km: 2 hours 15 mins,138 km: 1 hour 30 mins,133 km: 1 hour 25 mins,479 km: 4 hours 16 mins,267 km: 2 hours 33 mins,361 km: 3 hours 22 mins,515 km: 4 hours 49 mins
Hagen,504 km: 4 hours 35 mins,357 km: 3 hours 17 mins,590 km: 5 hours 21 mins,76.9 km: 54 mins,207 km: 2 hours 4 mins,402 km: 3 hours 49 mins,65.1 km: 50 mins,20.6 km: 23 mins,57.4 km: 44 mins,245 km: 2 hours 19 mins,533 km: 4 hours 46 mins,429 km: 3 hours 51 mins,223 km: 2 hours 4 mins,421 km: 3 hours 58 mins,82.4 km: 55 mins,37.9 km: 32 mins,32.4 km: 27 mins,99.7 km: 1 hour 5 mins,124 km: 1 hour 12 mins,282 km: 2 hours 42 mins,337 km: 3 hours 13 mins,79.8 km: 52 mins,229 km: 2 hours 11 mins,559 km: 5 hours 8 mins,139 km: 1 hour 31 mins,89.1 km: 1 hour 8 mins,56.1 km: 42 mins,285 km: 2 hours 36 mins,491 km: 4 hours 26 mins,441 km: 3 hours 58 mins,86.1 km: 1 hour 2 mins,390 km: 3 hours 35 mins,365 km: 3 hours 13 mins,468 km: 4 hours 23 mins,73.5 km: 48 mins,416 km: 3 hours 54 mins,359 km: 3 hours 22 mins,530 km: 4 hours 46 mins,233 km: 2 hours 20 mins,178 km: 1 hour 45 mins,NULL,53.6 km: 41 mins,332 km: 3 hours 17 mins,66.5 km: 51 mins,44.0 km: 32 mins,283 km: 2 hours 42 mins,132 km: 1 hour 21 mins,235 km: 2 hours 12 mins,61.4 km: 38 mins,46.8 km: 40 mins,483 km: 4 hours 12 mins,66.3 km: 52 mins,287 km: 2 hours 43 mins,114 km: 1 hour 14 mins,230 km: 2 hours 15 mins,524 km: 4 hours 50 mins,316 km: 2 hours 57 mins,514 km: 4 hours 40 mins,349 km: 3 hours 17 mins,485 km: 4 hours 34 mins,307 km: 2 hours 45 mins,225 km: 2 hours 10 mins,210 km: 2 hours 5 mins,357 km: 3 hours 25 mins,53.2 km: 40 mins,65.4 km: 48 mins,415 km: 3 hours 51 mins,309 km: 2 hours 54 mins,431 km: 4 hours 5 mins,38.8 km: 30 mins,181 km: 1 hour 46 mins,62.8 km: 52 mins,410 km: 3 hours 46 mins,90.8 km: 1 hour 1 min,261 km: 2 hours 41 mins,402 km: 3 hours 41 mins,81.8 km: 55 mins,266 km: 2 hours 25 mins,293 km: 2 hours 39 mins,597 km: 5 hours 11 mins,98.1 km: 1 hour 3 mins,372 km: 3 hours 28 mins,526 km: 4 hours 54 mins
Hamm,464 km: 4 hours 15 mins,323 km: 3 hours 0 mins,614 km: 5 hours 41 mins,123 km: 1 hour 20 mins,253 km: 2 hours 31 mins,447 km: 4 hours 17 mins,111 km: 1 hour 16 mins,42.5 km: 36 mins,80.8 km: 59 mins,215 km: 2 hours 8 mins,508 km: 4 hours 39 mins,403 km: 3 hours 44 mins,183 km: 1 hour 44 mins,446 km: 4 hours 18 mins,96.5 km: 1 hour 1 min,66.4 km: 49 mins,78.5 km: 53 mins,146 km: 1 hour 31 mins,84.0 km: 52 mins,327 km: 3 hours 9 mins,382 km: 3 hours 40 mins,49.5 km: 41 mins,274 km: 2 hours 38 mins,583 km: 5 hours 27 mins,185 km: 1 hour 57 mins,135 km: 1 hour 35 mins,66.6 km: 49 mins,245 km: 2 hours 16 mins,465 km: 4 hours 19 mins,411 km: 3 hours 47 mins,121 km: 1 hour 17 mins,365 km: 3 hours 28 mins,324 km: 2 hours 53 mins,513 km: 4 hours 50 mins,89.3 km: 54 mins,383 km: 3 hours 37 mins,334 km: 3 hours 15 mins,497 km: 4 hours 30 mins,279 km: 2 hours 47 mins,153 km: 1 hour 38 mins,54.2 km: 40 mins,NULL,378 km: 3 hours 43 mins,89.8 km: 1 hour 6 mins,61.1 km: 42 mins,329 km: 3 hours 9 mins,102 km: 1 hour 10 mins,205 km: 2 hours 2 mins,107 km: 1 hour 5 mins,92.9 km: 1 hour 7 mins,443 km: 3 hours 53 mins,112 km: 1 hour 18 mins,332 km: 3 hours 11 mins,104 km: 1 hour 7 mins,276 km: 2 hours 42 mins,548 km: 5 hours 9 mins,347 km: 3 hours 19 mins,539 km: 5 hours 0 mins,395 km: 3 hours 44 mins,534 km: 4 hours 56 mins,267 km: 2 hours 25 mins,200 km: 2 hours 3 mins,256 km: 2 hours 32 mins,403 km: 3 hours 52 mins,55.6 km: 42 mins,73.6 km: 52 mins,439 km: 4 hours 11 mins,279 km: 2 hours 44 mins,477 km: 4 hours 32 mins,84.9 km: 57 mins,227 km: 2 hours 12 mins,109 km: 1 hour 18 mins,429 km: 4 hours 2 mins,105 km: 1 hour 7 mins,307 km: 3 hours 7 mins,377 km: 3 hours 34 mins,127 km: 1 hour 22 mins,226 km: 2 hours 6 mins,253 km: 2 hours 20 mins,557 km: 4 hours 52 mins,144 km: 1 hour 30 mins,418 km: 3 hours 55 mins,572 km: 5 hours 22 mins
